Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga,Bulan_num,Periode
11,ACEH,Beras Premium,2021,januari,12072.0,1,2021-01-01
12,SUMATERA UTARA,Beras Premium,2021,januari,12523.0,1,2021-01-01
13,SUMATERA BARAT,Beras Premium,2021,januari,13096.0,1,2021-01-01
14,RIAU,Beras Premium,2021,januari,14605.000000000002,1,2021-01-01
15,JAMBI,Beras Premium,2021,januari,12323.0,1,2021-01-01
16,SUMATERA SELATAN,Beras Premium,2021,januari,11675.0,1,2021-01-01
17,BENGKULU,Beras Premium,2021,januari,11752.0,1,2021-01-01
18,LAMPUNG,Beras Premium,2021,januari,11428.0,1,2021-01-01
19,KEPULAUAN BANGKA BELITUNG,Beras Premium,2021,januari,12675.0,1,2021-01-01
21,KEPULAUAN RIAU,Beras Premium,2021,januari,13816.999999999998,1,2021-01-01
31,DKI JAKARTA,Beras Premium,2021,januari,12575.0,1,2021-01-01
32,JAWA BARAT,Beras Premium,2021,januari,11469.0,1,2021-01-01
33,JAWA TENGAH,Beras Premium,2021,januari,11674.0,1,2021-01-01
34,DI YOGYAKARTA,Beras Premium,2021,januari,12126.0,1,2021-01-01
35,JAWA TIMUR,Beras Premium,2021,januari,11582.0,1,2021-01-01
36,BANTEN,Beras Premium,2021,januari,11095.0,1,2021-01-01
51,BALI,Beras Premium,2021,januari,11977.0,1,2021-01-01
52,NUSA TENGGARA BARAT,Beras Premium,2021,januari,11987.0,1,2021-01-01
53,NUSA TENGGARA TIMUR,Beras Premium,2021,januari,12402.0,1,2021-01-01
61,KALIMANTAN BARAT,Beras Premium,2021,januari,13855.000000000002,1,2021-01-01
62,KALIMANTAN TENGAH,Beras Premium,2021,januari,14372.999999999998,1,2021-01-01
63,KALIMANTAN SELATAN,Beras Premium,2021,januari,14046.0,1,2021-01-01
64,KALIMANTAN TIMUR,Beras Premium,2021,januari,13305.000000000002,1,2021-01-01
65,KALIMANTAN UTARA,Beras Premium,2021,januari,1394.0,1,2021-01-01
71,SULAWESI UTARA,Beras Premium,2021,januari,12275.0,1,2021-01-01
72,SULAWESI TENGAH,Beras Premium,2021,januari,11682.0,1,2021-01-01
73,SULAWESI SELATAN,Beras Premium,2021,januari,11048.0,1,2021-01-01
74,SULAWESI TENGGARA,Beras Premium,2021,januari,1019.0,1,2021-01-01
75,GORONTALO,Beras Premium,2021,januari,11283.0,1,2021-01-01
76,SULAWESI BARAT,Beras Premium,2021,januari,1109.0,1,2021-01-01
81,MALUKU,Beras Premium,2021,januari,1446.0,1,2021-01-01
