Kode Provinsi;Nama Provinsi;Komoditas;Tahun;Bulan;Harga
11;ACEH;Beras Premium;2021;Januari;12072.0
12;SUMATERA UTARA;Beras Premium;2021;Januari;12523.0
13;SUMATERA BARAT;Beras Premium;2021;Januari;13096.0
14;RIAU;Beras Premium;2021;Januari;14.605.000.000.000.000
15;JAMBI;Beras Premium;2021;Januari;12323.0
16;SUMATERA SELATAN;Beras Premium;2021;Januari;11675.0
17;BENGKULU;Beras Premium;2021;Januari;11752.0
18;LAMPUNG;Beras Premium;2021;Januari;11428.0
19;KEPULAUAN BANGKA BELITUNG;Beras Premium;2021;Januari;12675.0
21;KEPULAUAN RIAU;Beras Premium;2021;Januari;13.816.999.999.999.900
31;DKI JAKARTA;Beras Premium;2021;Januari;12575.0
32;JAWA BARAT;Beras Premium;2021;Januari;11469.0
33;JAWA TENGAH;Beras Premium;2021;Januari;11674.0
34;DI YOGYAKARTA;Beras Premium;2021;Januari;12126.0
35;JAWA TIMUR;Beras Premium;2021;Januari;11582.0
36;BANTEN;Beras Premium;2021;Januari;11095.0
51;BALI;Beras Premium;2021;Januari;11977.0
52;NUSA TENGGARA BARAT;Beras Premium;2021;Januari;11987.0
53;NUSA TENGGARA TIMUR;Beras Premium;2021;Januari;12402.0
61;KALIMANTAN BARAT;Beras Premium;2021;Januari;13.855.000.000.000.000
62;KALIMANTAN TENGAH;Beras Premium;2021;Januari;14.372.999.999.999.900
63;KALIMANTAN SELATAN;Beras Premium;2021;Januari;14046.0
64;KALIMANTAN TIMUR;Beras Premium;2021;Januari;13.305.000.000.000.000
65;KALIMANTAN UTARA;Beras Premium;2021;Januari;1394.0
71;SULAWESI UTARA;Beras Premium;2021;Januari;12275.0
72;SULAWESI TENGAH;Beras Premium;2021;Januari;11682.0
73;SULAWESI SELATAN;Beras Premium;2021;Januari;11048.0
74;SULAWESI TENGGARA;Beras Premium;2021;Januari;1019.0
75;GORONTALO;Beras Premium;2021;Januari;11283.0
76;SULAWESI BARAT;Beras Premium;2021;Januari;1109.0
81;MALUKU;Beras Premium;2021;Januari;1446.0
82;MALUKU UTARA;Beras Premium;2021;Januari;14431.0
91;PAPUA BARAT;Beras Premium;2021;Januari;14.933.000.000.000.000
94;PAPUA;Beras Premium;2021;Januari;14771.0
11;ACEH;Beras Medium;2021;Januari;10967.0
12;SUMATERA UTARA;Beras Medium;2021;Januari;11.299.999.999.999.900
13;SUMATERA BARAT;Beras Medium;2021;Januari;11801.0
14;RIAU;Beras Medium;2021;Januari;1255.0
15;JAMBI;Beras Medium;2021;Januari;10993.0
16;SUMATERA SELATAN;Beras Medium;2021;Januari;10519.0
17;BENGKULU;Beras Medium;2021;Januari;10313.0
18;LAMPUNG;Beras Medium;2021;Januari;10298.0
19;KEPULAUAN BANGKA BELITUNG;Beras Medium;2021;Januari;10302.0
21;KEPULAUAN RIAU;Beras Medium;2021;Januari;12514.0
31;DKI JAKARTA;Beras Medium;2021;Januari;11371.0
32;JAWA BARAT;Beras Medium;2021;Januari;10213.0
33;JAWA TENGAH;Beras Medium;2021;Januari;10095.0
34;DI YOGYAKARTA;Beras Medium;2021;Januari;9921.0
35;JAWA TIMUR;Beras Medium;2021;Januari;10336.0
36;BANTEN;Beras Medium;2021;Januari;10184.0
51;BALI;Beras Medium;2021;Januari;10818.0
52;NUSA TENGGARA BARAT;Beras Medium;2021;Januari;10868.0
53;NUSA TENGGARA TIMUR;Beras Medium;2021;Januari;11251.0
61;KALIMANTAN BARAT;Beras Medium;2021;Januari;12509.0
62;KALIMANTAN TENGAH;Beras Medium;2021;Januari;12721.0
63;KALIMANTAN SELATAN;Beras Medium;2021;Januari;11607.0
64;KALIMANTAN TIMUR;Beras Medium;2021;Januari;11936.0
65;KALIMANTAN UTARA;Beras Medium;2021;Januari;12306.0
71;SULAWESI UTARA;Beras Medium;2021;Januari;11143.0
72;SULAWESI TENGAH;Beras Medium;2021;Januari;10431.0
73;SULAWESI SELATAN;Beras Medium;2021;Januari;9793.0
74;SULAWESI TENGGARA;Beras Medium;2021;Januari;10408.0
75;GORONTALO;Beras Medium;2021;Januari;10285.0
76;SULAWESI BARAT;Beras Medium;2021;Januari;10123.0
81;MALUKU;Beras Medium;2021;Januari;12163.0
82;MALUKU UTARA;Beras Medium;2021;Januari;12684.0
91;PAPUA BARAT;Beras Medium;2021;Januari;12606.0
94;PAPUA;Beras Medium;2021;Januari;12314.0
11;ACEH;Kedelai Biji Kering;2021;Januari;1041.0
12;SUMATERA UTARA;Kedelai Biji Kering;2021;Januari;10105.0
13;SUMATERA BARAT;Kedelai Biji Kering;2021;Januari;10365.0
14;RIAU;Kedelai Biji Kering;2021;Januari;10663.0
15;JAMBI;Kedelai Biji Kering;2021;Januari;1025.0
16;SUMATERA SELATAN;Kedelai Biji Kering;2021;Januari;10156.0
17;BENGKULU;Kedelai Biji Kering;2021;Januari;884.0
18;LAMPUNG;Kedelai Biji Kering;2021;Januari;11081.0
19;KEPULAUAN BANGKA BELITUNG;Kedelai Biji Kering;2021;Januari;9762.0
21;KEPULAUAN RIAU;Kedelai Biji Kering;2021;Januari;10882.0
31;DKI JAKARTA;Kedelai Biji Kering;2021;Januari;12271.0
32;JAWA BARAT;Kedelai Biji Kering;2021;Januari;11094.0
